ダウンロードした時刻：2023/06/19 00:44:12,,,,,,,,,,,,
,,,,,,,,,,,,
,佐賀,佐賀,佐賀,白石,白石,白石,嬉野,嬉野,嬉野,伊万里,伊万里,伊万里
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Mar-99,11.1,8,2,10.7,8,1,9.7,8,1,10.2,8,1
Apr-99,14.7,8,2,14.3,8,1,13.4,8,1,13.9,8,1
May-99,19.6,8,2,19,8,1,17.9,8,1,18.3,8,1
Jun-99,23.6,8,2,23.3,8,1,21.8,8,1,22.2,8,1
Jul-99,25.6,8,2,25.3,8,1,24,8,1,24.4,8,1
Aug-99,27.6,8,2,27.3,8,1,26.1,8,1,26.7,8,1
Sep-99,25.9,8,2,25.6,8,1,24.6,8,1,25.2,8,1
Oct-99,19.2,8,2,18.5,8,1,17.3,8,1,18.1,8,1
Nov-99,12.9,8,2,12.2,8,1,11.1,8,1,12.2,8,1
Dec-99,6.9,8,2,6,8,1,5.3,8,1,6.6,8,1
Jan-00,6.9,8,2,6.3,8,1,5.5,8,1,6.4,8,1
Feb-00,5,8,2,4.4,8,1,3.5,8,1,4.3,8,1
Mar-00,9.7,8,2,9.1,8,1,8.1,8,1,9,8,1
Apr-00,14.4,8,2,13.7,8,1,13.1,8,1,13.8,8,1
May-00,19.3,8,2,18.6,8,1,17.8,8,1,18.1,8,1
Jun-00,23.2,8,2,22.8,8,1,21.6,8,1,22.1,8,1
Jul-00,27.8,8,2,27.8,8,1,26.3,8,1,27.1,8,1
Aug-00,28,8,2,28,8,1,26.6,8,1,27.5,8,1
Sep-00,24,8,2,23.5,8,1,22.3,8,1,22.9,8,1
Oct-00,19.4,8,2,18.6,8,1,17.5,8,1,18.4,8,1
Nov-00,14,8,2,13,8,1,12,8,1,12.8,8,1
Dec-00,8.3,8,2,7.3,8,1,6.5,8,1,7.7,8,1
Jan-01,5.3,8,2,4.9,8,1,4,8,1,5,8,1
Feb-01,7.2,8,2,6.5,8,1,5.5,8,1,6.3,8,1
Mar-01,10.2,8,2,9.6,8,1,8.7,8,1,9.4,8,1
Apr-01,15.2,8,2,14.6,8,1,13.7,8,1,14.2,8,1
May-01,20.3,8,2,19.7,8,1,18.4,8,1,18.8,8,1
